paper_id,authors,year,title,journal_source,country,city_region,data_collection_method,year_of_data,sample_size_stops,sample_size_days,sample_size_vehicles,urban_classification,network_type,screening_status,quality_score,quality_notes,has_service_time_mean,has_service_time_sd,has_distribution_params,has_covariate_model,extraction_status,extraction_file_row,notes
P001,Dalla Chiara et al.,2023,Empirical Analysis of Commercial Vehicle Dwell Times,Urban Freight Lab / Transportation Research Part A,USA,Seattle,GPS traces + field observation,2021,1847,30,12,Urban Dense / CBD,B2C parcel + beverage,included,5,Large GPS-validated sample; lognormal fitted; stop type breakdown; walking components,yes,yes,yes,yes,pending,,Priority 1 - key empirical paper
P002,Dalla Chiara et al.,2025,The Role of Walking in Last-Mile Urban Deliveries,Transportation (Springer),USA,Seattle,GPS traces,2022,2100,,,"Urban Dense",B2C parcel,included,5,Walking sub-route analysis; detailed dwell time by building access type,yes,yes,yes,yes,pending,,Priority 1 - walking component detail
P003,Dalla Chiara & Cheah,2017,Commercial Vehicle Dwell Times in Singapore,Transportation Research Record,Singapore,Singapore,Field observation,2015,620,,,"Urban Dense / CBD",B2C + B2B mixed,included,4,Asian urban context; goods volume and vehicle loading covariates,yes,yes,no,yes,pending,,Good for dense Asian urban calibration
P004,Gevaers et al.,2014,Cost Modelling and Simulation of Last-Mile Characteristics,Procedia - Social and Behavioral Sciences,Belgium / Europe,Multiple,Carrier records + literature synthesis,2010-2013,,,,"Urban Dense / Suburban",B2C parcel,included,4,Service time components broken out; European B2C context,yes,yes,no,yes,pending,,Good for European suburban baseline
P005,USPS Office of Inspector General,2020,Package Delivery in Rural and Dense Urban Areas,USPS OIG Research Report,USA,National,Carrier operational records,2018-2019,,,,"Rural / Urban Dense",Postal parcels,included,4,Rural vs urban explicit comparison; large sample; operationally derived,yes,yes,no,no,pending,,Key for rural cell calibration
P006,Ehmke & Campbell,2014,Customer Acceptance of Time Window Offers in Urban Delivery,Transportation Science,USA,Multiple,Simulation + carrier data,2012,,,,Urban Dense / Suburban,B2C parcel,included,3,Service time uncertainty modelling; time-of-day effects; no raw distribution params,yes,yes,no,yes,pending,,Useful for covariate model - time of day effect
P007,Winkenbach et al.,2021,Stochastic Service Time Estimation for Dynamic Last-Mile Routing,Transportation Science,USA,Boston,GPS traces + carrier records,2019,3200+,,,"Urban Dense / Suburban",B2C parcel express,included,5,ML-based service time estimation; richest covariate set; lognormal confirmed,yes,yes,yes,yes,pending,,Priority 1 - covariate synthesis
P008,Campbell & Savelsbergh,2005,Time Window Based Policies for Home Deliveries,INFORMS - Operations Research,USA,Generic,Simulation,2003-2004,,,,"Suburban",B2C grocery/parcel,included,3,Foundational VRP service time assumptions; gamma distribution used; limited empirical,yes,yes,yes,no,pending,,Foundational - use for distribution family selection only
P009,Punakivi & Tanskanen,2002,Comparing Alternative Home Delivery Models,International Journal of Retail & Distribution Management,Finland,Helsinki,Field survey,2001,180,,,"Suburban",B2C e-commerce,included,3,Early empirical B2C; small sample but Nordic suburban useful,yes,no,no,no,pending,,Small sample - use only if cell has limited data
P010,Urban Freight Lab,2023,Do Parcel Lockers Reduce Delivery Dwell Time?,Urban Freight Lab Working Paper,USA,Seattle,GPS traces + field,2022,950,,,"Urban Dense",B2C parcel,included,4,Locker vs standard delivery time comparison; MDU context,yes,yes,no,yes,pending,,Key for MDU / locker cell calibration
P011,Allen et al.,2014,Understanding the Impact of E-Commerce on Last-Mile Light Goods Urban Distribution,Transportation Research Part D,UK,London / multiple EU,Carrier records + survey,2012-2013,,,,"Urban Dense / CBD",B2C parcel,included,3,EU multi-city; service time by building type; limited distribution params,yes,no,no,yes,pending,,Useful for EU suburban and CBD calibration
P012,Figliozzi,2010,Impacts of Congestion on Commercial Vehicle Tour Characteristics,Transportation Research Part E,USA,Portland OR,GPS traces,2008,,,,"Urban Dense / Suburban",B2B commercial,included,3,Travel time focus but service time by stop type reported; congestion effects,yes,yes,no,yes,pending,,Good for time-of-day covariate
P013,Hansmann & Zimmermann,2019,Stop Time Analysis for Urban Parcel Delivery,European Journal of Operational Research,Germany,Hamburg,GPS + carrier records,2017,4100,,,"Urban Dense / Suburban",B2C parcel,included,5,Large German dataset; lognormal fitted; residential vs commercial vs MDU breakdown,yes,yes,yes,yes,pending,,Priority 1 - European urban/suburban key paper
P014,Schmid et al.,2022,Commercial Vehicle Dwell Times at Freight-Attracting Buildings NYC,Transportation Research Part A,USA,New York City,Field observation,2020,890,,,"CBD / Urban Dense",B2B + B2C mixed,included,4,Building-level analysis; secured access effects; NYC dense urban,yes,yes,no,yes,pending,,Key for CBD cell with access difficulty covariate
P015,Lachapelle et al.,2018,Residential Delivery and Urban Form,Journal of Transport Geography,Canada,Montreal,Household survey + GPS,2016,1200,,,"Suburban / Urban",B2C postal,included,3,Residential focus; detached vs attached housing effects,yes,yes,no,yes,pending,,Good for residential suburban cell - housing type covariate
P016,Weltevreden,2008,B2C E-Commerce Logistics in City Logistics,International Journal of Physical Distribution & Logistics,Netherlands,Multiple NL,Carrier survey,2006-2007,,,,"Suburban / Urban",B2C e-commerce,included,2,Survey-based; limited distribution params; early e-commerce era,yes,no,no,no,pending,,Low quality - use only for directional reference
P017,Savelsbergh & Van Wele,1995,The General Pickup and Delivery Problem,Transportation Science,USA,Generic,Theoretical / literature,,,,,Generic / Mixed,Generic,included,2,Foundational VRP; service time as fixed parameter; no empirical distribution,yes,no,no,no,pending,,Foundational theory only - reference for model structure
P018,TBD - Australia specific,,,,,Australia,,,,,,,search_needed,0,No Australian-specific empirical service time paper identified yet - search needed,,,,,not_started,,Priority search: "Australia" OR "Sydney" AND "parcel delivery service time"
P019,TBD - Asia Pacific,,,,,Asia Pacific,,,,,,,search_needed,0,Possible AusPost/NZ Post research or CILT reports,,,,,not_started,,Check CILT Australasia; check AusPost corporate research reports
